metabolite,name,formula,carbon_atom
6apa_e,6 Aminopenicillanic acid C8H12N2O3S,C8H12N2O3S,Presence
9ohadd_c,"9alpha-Hydroxyandrosta-1,4-diene-3,17-dione",C19H23O3,Presence
R_3hpt_e, 3 Hydroxypentanoic acid,C5H9O3,Presence
R_3hpt_p, 3 Hydroxypentanoic acid,C5H9O3,Presence
T4hcinnm_c,Trans 4 Hydroxycinnamate C9H7O3,C9H7O3,Presence
T4hcinnm_e,Trans 4 Hydroxycinnamate C9H7O3,C9H7O3,Presence
T4hcinnm_p,Trans 4 Hydroxycinnamate C9H7O3,C9H7O3,Presence
acadl_c,Acetyl adenylate,C12H14N5O8P,Presence
acgal1p_e,N-Acetyl-D-galactosamine 1-phosphate,C8H14NO9P,Presence
acgal1p_p,N-Acetyl-D-galactosamine 1-phosphate,C8H14NO9P,Presence
acgam1p_e,N-Acetyl-D-glucosamine 1-phosphate,C8H14NO9P,Presence
acgam1p_p,N-Acetyl-D-glucosamine 1-phosphate,C8H14NO9P,Presence
acmana_p,N-Acetyl-D-mannosamine,C8H15NO6,Presence
acmum_e,N-Acetylmuramate,C11H18NO8,Presence
acmum_p,N-Acetylmuramate,C11H18NO8,Presence
acnam_p,N-Acetylneuraminate,C11H18NO9,Presence
acser_e,O-Acetyl-L-serine,C5H9NO4,Presence
acser_p,O-Acetyl-L-serine,C5H9NO4,Presence
akg_p,2-Oxoglutarate,C5H4O5,Presence
alaala_e,D-Alanyl-D-alanine,C6H12N2O3,Presence
all__D_c,D-Allose,C6H12O6,Presence
all__D_e,D-Allose,C6H12O6,Presence
all__D_p,D-Allose,C6H12O6,Presence
andrs14dn317dn_c,"Androsta-1,4-diene-3,17-dione",C19H23O2,Presence
andrstndn_c,"Androst-4-ene-3,17-dione",C19H25O2,Presence
arab__D_e,D Arabinose C5H10O5,C5H10O5,Presence
arbt_p,Arbutin C12H16O7,C12H16O7,Presence
ascb__L_p,L-Ascorbate,C6H8O6,Presence
bhb_e,(R)-3-Hydroxybutanoate,C4H7O3,Presence
caffcoa_c,Caffeoyl-CoA,C30H38N7O19P3S,Presence
cchol_c,26-Carboxycholest-4-en-3-one,C27H40O3,Presence
chol4en3one_c,Cholest-4-en-3-one,C27H44O,Presence
cholc3coa_c,CoA-cholest-4-en-3-one C3 side chain,C43H64N7O18P3S,Presence
cholc5coa_c,CoA-cholest-4-en-3-one C5 side chain,C45H68N7O18P3S,Presence
cholc8coa_c,CoA-cholest-4-en-3-one C8 side chain,C48H74N7O18P3S,Presence
cholenec3coa_c,CoA-20-ene-cholest-4-en-3-one C5 side chain,C43H63N7O18P3S,Presence
cholenec5coa_c,CoA-22-ene-cholest-4-en-3-one C5 side chain,C45H66N7O18P3S,Presence
cholenec8coa_c,CoA-24-ene-cholest-4-en-3-one C8 side chain,C48H72N7O18P3S,Presence
chols_p,Choline sulfate,C5H13NO4S,Presence
chsterol_c,Chsterol c,C27H46O,Presence
chsterol_e,Chsterol c,C27H46O,Presence
confrl_c,Coniferol,C10H12O3,Presence
confrl_e,Coniferol,C10H12O3,Presence
confrl_p,Coniferol,C10H12O3,Presence
conialdh_c,Coniferyl aldehyde,C10H10O3,Presence
