species,carbon,number_nzfmtb_ca,cs_flux,growth,theta_rank,growthability
Pseudomonas delhiensis,Glycerol,284.0,0.5,0.06877577973938426,9,1
Pseudomonas delhiensis,Cellobiose,271.0,0.5,0.07186968151227008,10,1
Pseudomonas delhiensis,Serine,263.0,0.5,0.048769689436138165,11,0
Pseudomonas delhiensis,Isoleucine,273.0,0.5,0.09657428191931816,12,1
Pseudomonas delhiensis,Sorbitol,,0.5,0.0,13,0
Pseudomonas delhiensis,Uridine,,0.5,0.0,14,0
Pseudomonas delhiensis,Raffinose,,0.5,0.0,15,0
Sphingomonas paucimobilis,Succinate,278.0,0.5,0.07275867183226774,0,1
Sphingomonas paucimobilis,Alanine,285.0,0.5,0.07109467145222234,1,1
Sphingomonas paucimobilis,Glutamine,280.0,0.5,0.07223466401713512,2,1
Sphingomonas paucimobilis,Proline,284.0,0.5,0.09169090419060326,3,1
Sphingomonas paucimobilis,Acetate,277.0,0.5,0.07152014769284638,4,1
Sphingomonas paucimobilis,Mannitol,285.0,0.5,0.0695375119907613,5,1
Sphingomonas paucimobilis,Citrate,288.0,0.5,0.06698065057505641,6,1
Sphingomonas paucimobilis,Glucose,297.0,0.5,0.07031488576210045,7,1
Sphingomonas paucimobilis,Ribose,287.0,0.5,0.07031488576210047,8,1
Sphingomonas paucimobilis,Glycerol,272.0,0.5,0.06877577973938395,9,0
Sphingomonas paucimobilis,Cellobiose,298.0,0.5,0.074014890793789,10,1
Sphingomonas paucimobilis,Serine,,0.5,0.0,11,0
Sphingomonas paucimobilis,Isoleucine,280.0,0.5,0.0965742819193185,12,1
Sphingomonas paucimobilis,Sorbitol,283.0,0.5,0.06953751199076108,13,0
Sphingomonas paucimobilis,Uridine,,0.5,0.0,14,0
Sphingomonas paucimobilis,Raffinose,300.0,0.5,0.07533734773236485,15,1
Agrobacterium tumefaciens,Succinate,283.0,1.0,0.14551734366453617,0,1
Agrobacterium tumefaciens,Alanine,283.0,1.0,0.14218934290444463,1,1
Agrobacterium tumefaciens,Glutamine,315.0,1.0,0.14446932803427023,2,0
Agrobacterium tumefaciens,Proline,293.0,1.0,0.18338180838120652,3,0
Agrobacterium tumefaciens,Acetate,300.0,1.0,0.1430402953856927,4,1
Agrobacterium tumefaciens,Mannitol,305.0,1.0,0.13907502398152227,5,1
Agrobacterium tumefaciens,Citrate,323.0,1.0,0.13396130115011276,6,0
Agrobacterium tumefaciens,Glucose,308.0,1.0,0.14062977152420023,7,1
Agrobacterium tumefaciens,Ribose,295.0,1.0,0.14062977152420128,8,1
Agrobacterium tumefaciens,Glycerol,320.0,1.0,0.1375515594787679,9,1
Agrobacterium tumefaciens,Cellobiose,309.0,1.0,0.14802978158757704,10,1
Agrobacterium tumefaciens,Serine,333.0,1.0,0.12054095117858024,11,0
Agrobacterium tumefaciens,Isoleucine,322.0,1.0,0.19314856383863527,12,0
Agrobacterium tumefaciens,Sorbitol,303.0,1.0,0.13907502398152236,13,1
Agrobacterium tumefaciens,Uridine,,1.0,0.0,14,0
Agrobacterium tumefaciens,Raffinose,317.0,1.0,0.10044979697648669,15,0
Alcaligenes faecalis,Succinate,271.0,1.0,0.1128658170588309,0,1
Alcaligenes faecalis,Alanine,271.0,1.0,0.1421834743045846,1,1
Alcaligenes faecalis,Glutamine,266.0,1.0,0.13446354919274467,2,1
Alcaligenes faecalis,Proline,278.0,1.0,0.17068099608292997,3,1
Alcaligenes faecalis,Acetate,263.0,1.0,0.11094457474609139,4,1
Alcaligenes faecalis,Mannitol,274.0,1.0,0.12805725915348673,5,0
Alcaligenes faecalis,Citrate,258.0,1.0,0.10390274676417376,6,1
Alcaligenes faecalis,Glucose,259.0,1.0,0.12948883689685992,7,0
Alcaligenes faecalis,Ribose,258.0,1.0,0.13318851795105596,8,0
Alcaligenes faecalis,Glycerol,267.0,1.0,0.13754588229476666,9,0
Alcaligenes faecalis,Cellobiose,,1.0,0.0,10,0
Alcaligenes faecalis,Serine,256.0,1.0,0.12053597607570124,11,0
Alcaligenes faecalis,Isoleucine,278.0,1.0,0.1514087838141012,12,1
Alcaligenes faecalis,Sorbitol,274.0,1.0,0.12805725915348687,13,0
Alcaligenes faecalis,Uridine,,1.0,0.0,14,0
Alcaligenes faecalis,Raffinose,,1.0,0.0,15,0
Delftia acidovorans,Succinate,266.0,1.0,0.11286734225462608,0,1
Delftia acidovorans,Alanine,282.0,1.0,0.14218867637240867,1,1
Delftia acidovorans,Glutamine,273.0,1.0,0.13446536624635053,2,1
Delftia acidovorans,Proline,271.0,1.0,0.17068330255573427,3,1
Delftia acidovorans,Acetate,270.0,1.0,0.11094607397945809,4,1
Delftia acidovorans,Mannitol,271.0,1.0,0.13907437204828305,5,1
Delftia acidovorans,Citrate,273.0,1.0,0.10390415083882341,6,1
Delftia acidovorans,Glucose,271.0,1.0,0.14062911230286948,7,0
Delftia acidovorans,Ribose,,1.0,0.0,8,1
Delftia acidovorans,Glycerol,273.0,1.0,0.13755091468697841,9,1
Delftia acidovorans,Cellobiose,,1.0,0.0,10,0
Delftia acidovorans,Serine,274.0,1.0,0.12054038612634779,11,0
Delftia acidovorans,Isoleucine,275.0,1.0,0.1514108516983217,12,1
Delftia acidovorans,Sorbitol,289.0,1.0,0.13907437204828343,13,0
Delftia acidovorans,Uridine,,1.0,0.0,14,0
Delftia acidovorans,Raffinose,,1.0,0.0,15,0
Pandoraea vervacti,Succinate,282.0,1.0,0.11287164175038661,0,1
Pandoraea vervacti,Alanine,280.0,1.0,0.14218934290444474,1,1
Pandoraea vervacti,Glutamine,272.0,1.0,0.13447048848331059,2,1
Pandoraea vervacti,Proline,274.0,1.0,0.17068980445540688,3,1
Pandoraea vervacti,Acetate,275.0,1.0,0.11095030028766407,4,1
Pandoraea vervacti,Mannitol,280.0,1.0,0.13907502398152216,5,1
Pandoraea vervacti,Citrate,271.0,1.0,0.1039081088965493,6,1
Pandoraea vervacti,Glucose,267.0,1.0,0.1406297715242008,7,0
Pandoraea vervacti,Ribose,284.0,1.0,0.14062977152420128,8,1
Pandoraea vervacti,Glycerol,281.0,1.0,0.1375515594787681,9,1
Pandoraea vervacti,Cellobiose,285.0,1.0,0.1480297815875774,10,0
Pandoraea vervacti,Serine,272.0,1.0,0.12054095117858013,11,1
Pandoraea vervacti,Isoleucine,277.0,1.0,0.15141668102486905,12,1
Pandoraea vervacti,Sorbitol,298.0,1.0,0.1390750239815223,13,0
Pandoraea vervacti,Uridine,291.0,1.0,0.11765395485385835,14,0
Pandoraea vervacti,Raffinose,,1.0,0.0,15,0
Pantoea agglomerans,Succinate,266.0,1.0,0.10414956807804385,0,1
Pantoea agglomerans,Alanine,262.0,1.0,0.13569020503781093,1,1
Pantoea agglomerans,Glutamine,270.0,1.0,0.11837380159977708,2,1
Pantoea agglomerans,Proline,267.0,1.0,0.16542222012443727,3,1
Pantoea agglomerans,Acetate,269.0,1.0,0.1075263109921326,4,0
Pantoea agglomerans,Mannitol,269.0,1.0,0.13906830610251972,5,1
Pantoea agglomerans,Citrate,269.0,1.0,0.09146986826521972,6,1
Pantoea agglomerans,Glucose,270.0,1.0,0.1342019179690774,7,1
Pantoea agglomerans,Ribose,278.0,1.0,0.13420191796907768,8,1
Pantoea agglomerans,Glycerol,272.0,1.0,0.13754491518918427,9,1
Pantoea agglomerans,Cellobiose,271.0,1.0,0.14126369111093856,10,1
Pantoea agglomerans,Serine,263.0,1.0,0.0958594249914247,11,0
Pantoea agglomerans,Isoleucine,257.0,1.0,0.0499314543663848,12,0
Pantoea agglomerans,Sorbitol,264.0,1.0,0.13906830610251988,13,1
Pantoea agglomerans,Uridine,300.0,1.0,0.10555893990687046,14,1
Pantoea agglomerans,Raffinose,,1.0,0.0,15,0
Pseudomonas asiatica,Succinate,274.0,1.0,0.10544742848329398,0,1
Pseudomonas asiatica,Alanine,271.0,1.0,0.13738110926092698,1,1
Pseudomonas asiatica,Glutamine,268.0,1.0,0.11313255944752226,2,1
Pseudomonas asiatica,Proline,277.0,1.0,0.16542156337466601,3,1
Pseudomonas asiatica,Acetate,270.0,1.0,0.10752588409736462,4,1
Pseudomonas asiatica,Mannitol,268.0,1.0,0.13906993580490254,5,1
Pseudomonas asiatica,Citrate,274.0,1.0,0.08741985278262385,6,1
Pseudomonas asiatica,Glucose,265.0,1.0,0.1358742758948461,7,1
Pseudomonas asiatica,Ribose,272.0,1.0,0.13587427589484596,8,1
Pseudomonas asiatica,Glycerol,293.0,1.0,0.1375465270393774,9,1
Pseudomonas asiatica,Cellobiose,277.0,1.0,0.14302404936086416,10,1
Pseudomonas asiatica,Serine,268.0,1.0,0.09705397773381479,11,1
Pseudomonas asiatica,Isoleucine,264.0,1.0,0.14669495426815396,12,1
Pseudomonas asiatica,Sorbitol,276.0,1.0,0.13906993580490273,13,1
Pseudomonas asiatica,Uridine,273.0,1.0,0.11398214722020754,14,1
Pseudomonas asiatica,Raffinose,,1.0,0.0,15,0
Pseudomonas delhiensis,Succinate,266.0,1.0,0.10597480822628616,0,1
Pseudomonas delhiensis,Alanine,262.0,1.0,0.13806820059293992,1,1
Pseudomonas delhiensis,Glutamine,254.0,1.0,0.12128210932878446,2,1
Pseudomonas delhiensis,Proline,267.0,1.0,0.18338180838120616,3,1
Pseudomonas delhiensis,Acetate,267.0,1.0,0.12086400202826916,4,1
Pseudomonas delhiensis,Mannitol,280.0,1.0,0.13907502398152244,5,1
Pseudomonas delhiensis,Citrate,268.0,1.0,0.09371717739318426,6,1
Pseudomonas delhiensis,Glucose,268.0,1.0,0.13655383102228105,7,1
